Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
1576,,7.504,15.006,29.962,64.992,124.563,245.321,454.027,738.918,1022.726,,7.5,15.005,30.031,64.929,124.576,245.167,454.138,737.785,1023.233,3.697,7.368,14.737,29.358,62.931,118.669,226.516,404.673,667.589,883.015,3.694,7.383,14.757,29.353,62.908,118.658,226.261,404.267,668.239,884.386,3.754,7.496,15.008,29.965,65.024,124.873,247.627,472.873,814.413,1192.402,,7.5,15.016,29.989,65.022,124.846,247.651,473.129,815.375,1192.832,,7.507,14.986,30.027,65.023,124.714,248.41,482.237,871.908,1361.228,,,,,64.985,124.936,248.158,482.009,870.661,1363.135,,,,,65.019,125.052,249.725,491.895,903.966,1426.392,,,,29.962,64.98,125.048,249.998,492.494,903.733,1425.742
1577,,7.504,15.008,29.964,64.995,124.762,245.268,454.619,737.755,1024.769,,7.495,15.005,30.005,64.949,124.769,245.221,455.009,738.51,1023.984,3.69,7.369,14.734,29.357,62.901,118.871,226.513,404.135,668.673,884.902,3.694,7.375,14.756,29.357,62.983,118.653,226.411,404.624,667.653,882.994,3.75,7.503,14.998,30.018,65.06,124.984,247.381,473.226,814.779,1193.243,,7.506,14.999,29.98,65.061,124.975,247.868,473.829,815.923,1191.445,,7.497,14.984,29.989,64.933,124.821,248.549,482.234,871.731,1360.873,,,,,64.964,124.707,248.303,482.933,870.955,1361.724,,,,,64.982,125.033,249.43,492.36,903.248,1426.401,,,,29.994,65.057,124.918,249.947,492.078,904.259,1426.361
1578,,7.504,14.987,30.014,64.962,124.692,245.176,454.376,738.888,1025.408,,7.506,14.986,29.978,64.946,124.514,245.369,454.461,738.915,1024.666,3.689,7.382,14.77,29.347,62.917,118.826,226.666,404.972,668.012,883.794,3.696,7.383,14.76,29.348,62.925,118.833,226.327,404.541,669.258,885.267,3.745,7.508,15.004,29.991,64.996,124.759,247.616,473.82,814.18,1192.741,,7.494,15.019,29.977,65.023,124.91,247.89,473.537,815.074,1192.749,,7.493,15.012,30.028,64.989,124.84,248.436,482.308,871.144,1364.612,,,,,64.912,124.754,248.008,483.114,872.527,1362.858,,,,,64.945,124.9,249.448,492.128,904.681,1429.02,,,,29.963,64.984,124.981,249.964,491.763,903.259,1427.425
1579,,7.509,15.011,30.015,64.951,124.54,245.031,454.132,739.588,1025.53,,7.507,15.009,30.03,65,124.598,244.928,454.621,737.911,1026.252,3.692,7.368,14.743,29.364,62.923,118.633,226.72,404.387,669.418,885.296,3.695,7.375,14.741,29.337,62.934,118.877,226.593,404.897,668.122,885.111,3.747,7.501,14.991,29.972,64.952,124.853,247.783,473.218,814.568,1191.932,,7.496,14.987,30.002,65.041,124.685,247.978,473.617,815.854,1191.874,,7.492,15.004,30.005,64.942,124.686,248.324,482.859,872.178,1364.089,,,,,64.938,124.976,248.355,482.797,871.613,1362.181,,,,,64.955,125.129,249.906,492.31,903.726,1429.872,,,,29.977,65.057,124.992,249.99,491.608,904.557,1427.585
1580,,7.491,15.014,29.995,64.9,124.617,245.408,454.689,738.664,1026.565,,7.5,15.013,29.968,65.045,124.63,244.896,455.126,739.673,1026.39,3.689,7.372,14.768,29.35,63.039,118.712,226.544,404.549,668.356,885.51,3.697,7.374,14.75,29.411,62.979,118.806,226.652,404.93,669.934,885.628,3.75,7.494,15.005,30.009,64.999,124.79,247.615,474.079,815.169,1194.197,,7.491,14.992,30.004,64.937,124.728,247.745,473.362,816.47,1193.383,,7.497,15.002,29.988,64.956,124.833,248.353,482.926,872.253,1364.707,,,,,65.014,124.95,248.078,482.426,870.879,1364.635,,,,,65.006,125.003,249.963,491.609,905.211,1428.744,,,,29.965,64.977,125.024,249.597,492.227,905.086,1429.938
1581,,7.495,15.015,29.976,64.897,124.495,245.087,454.873,739.6,1027.069,,7.491,15.014,29.975,64.912,124.694,245.087,454.54,739.352,1025.873,3.696,7.381,14.758,29.344,63.005,118.692,226.73,404.672,669.719,885.07,3.69,7.368,14.751,29.374,63.066,118.776,226.54,405.175,669.748,884.797,3.747,7.502,15.01,29.964,64.963,124.918,247.685,473.468,814.773,1192.887,,7.498,15,30.015,64.951,124.974,247.457,473.08,815.711,1194.581,,7.497,15.014,29.979,65.009,124.897,248.502,483.318,871.864,1362.822,,,,,64.956,124.859,247.97,483.028,870.893,1365.539,,,,,64.925,124.906,249.778,491.799,905.714,1429.973,,,,29.988,65.002,124.979,249.483,491.819,905.081,1430.199
1582,,7.506,14.995,29.999,64.936,124.597,245.315,454.793,738.993,1027.422,,7.495,14.984,30.013,64.981,124.5,244.994,455.391,739.659,1025.272,3.694,7.377,14.744,29.386,62.929,118.782,226.617,404.526,670.331,886.529,3.692,7.38,14.757,29.411,62.939,118.762,226.46,405.252,669.288,886.415,3.748,7.506,14.988,29.97,64.985,124.75,247.534,473.594,816.85,1194.383,,7.504,14.982,30.031,64.929,124.905,247.723,473.49,815.47,1194.476,,7.494,15.006,30.009,65.013,124.734,248.553,482.408,871.555,1364.876,,,,,64.894,124.923,248.567,482.436,872.331,1365.438,,,,,65.037,124.936,249.716,492.747,905.731,1428.292,,,,30.001,65.013,125.068,249.484,491.951,903.991,1428.826
1583,,7.49,15.009,29.971,64.932,124.786,245.34,454.46,739.618,1028.009,,7.496,15.012,30.011,65.034,124.638,245.461,455.244,740.132,1027.285,3.694,7.382,14.774,29.406,63.076,118.812,226.569,405.624,670.48,886.246,3.697,7.377,14.768,29.361,62.987,118.694,226.961,404.838,669.388,886.423,3.75,7.507,15.016,30.004,65.05,124.989,247.57,474.102,817.125,1195.825,,7.492,15.013,30.027,65.045,124.831,247.468,473.525,816.352,1194.774,,7.496,14.984,30.018,65.034,124.94,248.174,483.33,871.592,1364.819,,,,,64.914,124.774,248.229,482.809,872.343,1365.568,,,,,65.059,124.929,249.54,492.752,904.773,1428.285,,,,29.965,64.952,124.973,249.494,492.069,905.067,1429.002
1584,,7.5,14.986,29.984,64.899,124.765,245.201,455.027,739.336,1028.311,,7.506,14.989,30.035,64.951,124.57,245.008,454.823,739.213,1026.413,3.696,7.374,14.756,29.412,63.039,118.894,226.98,404.754,669.925,888.032,3.697,7.375,14.742,29.37,63.053,118.743,226.605,405.297,670.326,887.482,3.751,7.508,14.994,29.975,64.933,124.769,247.44,474.051,816.646,1196.668,,7.498,15.016,30.004,64.931,124.8,247.56,474.183,816.967,1195.22,,7.499,15.004,29.96,65.037,124.946,248.086,482.944,871.38,1367.343,,,,,65.003,124.783,248.46,483.268,872.215,1364.333,,,,,64.995,125.117,250.047,492.114,904.609,1432.215,,,,29.973,64.966,124.857,250.031,492.486,904.038,1429.187
1585,,7.497,14.985,29.974,65.042,124.527,245.325,455.091,740.091,1028.39,,7.501,14.991,30.019,64.887,124.679,245.366,454.632,739.458,1028.759,3.693,7.378,14.765,29.415,62.975,118.774,226.76,405.482,669.583,886.997,3.698,7.379,14.756,29.392,63.045,118.769,226.673,405.167,670.541,888.118,3.754,7.507,15.008,29.978,64.915,124.695,247.617,473.299,815.743,1197.186,,7.496,15.007,30.032,64.969,124.787,247.528,474.224,817.228,1195.34,,7.497,14.997,30.022,64.969,124.916,248.289,483.214,872.396,1367.739,,,,,65.034,124.907,248.289,482.987,872.752,1365.308,,,,,65.062,125.048,249.876,491.871,905.188,1432.041,,,,29.985,64.976,124.899,249.682,492.316,905.247,1430.623
1586,,7.492,14.998,29.973,64.887,124.787,245.209,454.577,739.847,1029.31,,7.501,14.983,30.017,64.896,124.572,245.159,455.265,740.8,1026.848,3.69,7.381,14.742,29.363,62.986,118.952,226.702,405.727,670.127,887.25,3.691,7.385,14.746,29.357,63.06,118.733,226.815,405.67,670.263,886.749,3.747,7.504,14.998,29.987,64.982,124.87,247.898,474.338,816.835,1195.484,,7.5,15.016,30.032,65.028,124.961,247.644,473.876,817.582,1197.652,,7.499,14.996,29.98,64.899,124.89,248.412,482.908,872.679,1365.57,,,,,64.99,124.897,248.084,482.714,871.708,1365.052,,,,,64.933,124.962,249.924,492.595,906.501,1432.072,,,,29.976,64.981,124.94,249.535,492.346,904.94,1430.063
1587,,7.508,14.988,30.032,65.046,124.745,245.472,454.958,739.784,1028.008,,7.498,14.989,29.981,64.975,124.685,245.355,454.853,740.513,1027.68,3.691,7.375,14.752,29.349,63.028,118.958,227.133,405.323,669.971,887.3,3.691,7.379,14.761,29.349,62.955,119.011,226.972,405.472,670.855,888.788,3.749,7.499,15,29.961,65.05,124.8,247.626,473.647,816.371,1197.379,,7.491,15.008,30.019,64.998,124.917,247.958,474.29,816.155,1197.017,,7.492,15.015,29.996,64.917,124.962,248.325,482.463,872.01,1365.505,,,,,64.933,124.77,248.094,482.589,873.948,1367.067,,,,,65.067,125.027,249.743,492.816,906.191,1431.111,,,,29.978,64.933,125.099,249.985,492.855,905.929,1430.908
1588,,7.492,15.011,29.992,64.992,124.672,245.005,455.092,741.21,1030.161,,7.495,15.011,30.028,65.036,124.752,245.048,454.748,739.96,1028.775,3.692,7.37,14.757,29.382,62.986,118.982,226.916,405.913,670.836,889.648,3.692,7.375,14.755,29.407,63.07,118.843,226.935,405.414,670.237,887.921,3.752,7.492,15.018,30.008,65.048,124.937,247.611,473.616,817.308,1198.494,,7.495,15.004,30.015,65.031,124.791,247.692,474.112,817.829,1197.824,,7.497,14.995,29.974,64.963,124.985,248.561,482.855,872.342,1368.345,,,,,64.952,124.889,248.578,483.411,872.873,1366.776,,,,,64.963,124.977,249.972,492.015,905.35,1431.881,,,,30.013,65.041,125.075,249.462,492.522,905.033,1433.8
1589,,7.496,15.016,29.965,64.974,124.779,245.598,455.354,740.068,1029.582,,7.498,15.003,30.018,65.03,124.59,245.264,455.075,740.857,1030.313,3.694,7.382,14.755,29.376,63.04,118.931,226.757,406.16,670.944,889.843,3.694,7.38,14.766,29.387,62.966,118.976,227.165,405.344,671.827,889.713,3.747,7.508,14.992,30.032,64.971,124.725,247.68,473.626,818.329,1198.781,,7.494,15.011,30.008,64.944,124.696,247.877,474.406,817.436,1198.655,,7.508,15.011,29.998,65.006,124.985,248.527,482.473,873.852,1366.871,,,,,64.975,124.684,248.352,482.897,874.167,1368.506,,,,,64.991,125.144,249.911,492.383,905.733,1431.867,,,,30.009,65.063,124.987,249.552,492.941,906.054,1434.352
1590,,7.494,14.991,29.977,64.959,124.778,245.167,455.391,740.796,1029.222,,7.506,14.989,29.963,64.93,124.607,245.087,454.95,741.855,1030.08,3.698,7.38,14.775,29.407,63.111,118.799,227.179,406.242,671.192,889.967,3.692,7.384,14.769,29.377,62.993,118.803,226.85,405.349,671.969,889.359,3.748,7.5,15.017,29.985,65.058,124.805,248.084,473.572,816.743,1198.14,,7.507,14.993,29.997,65.041,124.712,248.027,473.494,818.356,1199.674,,7.497,15.009,30.008,64.925,124.946,248.107,482.737,872.414,1369.787,,,,,64.899,124.952,248.338,482.522,873.603,1367.514,,,,,65.02,125.111,249.746,492.065,906.38,1433.738,,,,29.971,65.076,125.098,249.534,492.271,905.226,1433.29
1591,,7.498,15.001,30.004,64.915,124.505,245.265,455.734,741.821,1029.176,,7.505,15.007,30.009,64.958,124.571,245.593,455.524,741.25,1031.27,3.697,7.387,14.774,29.361,63.031,118.776,227.177,405.476,671.574,889.831,3.694,7.378,14.758,29.379,63.059,118.896,227.012,405.913,670.934,890.03,3.752,7.509,14.983,29.963,65.013,124.942,247.823,474.064,816.84,1197.902,,7.492,15.011,29.969,65.048,124.736,247.871,474.522,817.811,1199.509,,7.498,15.013,29.976,65.038,124.784,248.482,483.181,874.012,1370.485,,,,,64.906,124.82,248.289,483.455,874.313,1368.669,,,,,64.985,125.099,249.635,492.989,907.144,1433.684,,,,30.036,65.001,125.003,249.508,492.623,905.903,1432.979
1592,,7.494,15.005,29.967,64.942,124.778,245.486,455.337,740.747,1029.648,,7.508,14.988,29.997,64.911,124.769,245.284,455.277,740.924,1031.095,3.699,7.372,14.772,29.412,63.097,118.78,227.237,406.507,671.062,889.256,3.693,7.375,14.746,29.404,63.094,119.065,226.962,405.602,671.545,889.622,3.751,7.503,14.982,30.006,64.929,124.945,247.885,474.209,818.641,1200.728,,7.509,15.016,29.973,64.942,124.778,247.927,474.423,817.957,1199.949,,7.492,15.001,30.022,65.046,124.699,248.641,483.749,872.674,1367.75,,,,,64.951,124.941,248.495,482.73,873.522,1369.812,,,,,65.038,125.125,249.853,491.837,905.736,1433.43,,,,30.019,64.956,124.884,249.736,492.847,905.727,1432.308
1593,,7.492,15.012,30.02,65.041,124.745,245.052,456.067,741.153,1029.959,,7.508,15.011,29.974,64.935,124.759,245.415,456.027,742.597,1030.484,3.694,7.384,14.778,29.428,63.031,118.856,226.9,406.495,671.861,891.284,3.697,7.38,14.77,29.368,63.025,118.995,226.835,406.046,672.657,890.732,3.748,7.502,14.999,29.996,64.981,124.81,247.865,474.623,817.171,1201.118,,7.504,14.997,29.998,64.929,124.754,247.773,473.639,817.647,1198.367,,7.506,15.012,29.973,64.912,124.705,248.475,483.538,873.6,1368.15,,,,,64.974,124.793,248.604,483.238,875.005,1368.878,,,,,65.075,124.955,250.017,492.929,905.891,1434.73,,,,29.995,64.958,125.14,249.63,493.032,906.46,1434.775
1594,,7.506,15.017,29.979,64.917,124.509,245.457,455.123,741.329,1032.454,,7.491,14.99,29.99,64.994,124.745,245.622,455.501,742.779,1032.513,3.691,7.376,14.778,29.401,63.079,119.018,226.937,406.228,672.1,890.614,3.691,7.374,14.758,29.372,62.989,118.914,227.291,406.568,671.665,890.147,3.75,7.505,14.987,29.99,65.008,124.999,247.552,473.879,819.02,1200.342,,7.509,15.018,30.027,64.915,124.815,247.934,474.198,817.805,1200.059,,7.5,15.013,29.984,65.007,124.768,248.648,483.813,873.03,1369.364,,,,,65.003,124.791,248.118,483.462,873.81,1370.12,,,,,65.055,125.107,249.782,492.422,905.877,1434.892,,,,30.01,64.953,125.144,250.01,492.32,905.931,1433.867
1595,,7.497,14.989,30.026,65.027,124.693,245.629,456.026,741.415,1032.179,,7.506,15.008,30.029,64.925,124.535,245.525,456.253,742.709,1031.291,3.696,7.375,14.753,29.43,63.036,118.941,227.393,406.578,671.992,890.741,3.691,7.379,14.754,29.393,63.089,118.865,226.968,405.957,671.739,891.732,3.752,7.495,15.016,29.977,64.941,124.707,247.817,473.749,818.382,1202.112,,7.505,14.996,29.976,64.951,124.8,247.582,473.928,819.296,1201.901,,7.499,15.005,29.991,64.921,124.956,248.146,482.815,873.501,1370.187,,,,,64.951,124.971,248.577,483.314,874.988,1370.907,,,,,65.041,125.15,249.899,491.87,906.157,1437.033,,,,30.023,65.06,124.888,249.602,492.421,905.667,1433.794
1596,,7.496,14.984,30.025,64.946,124.687,245.193,455.889,742.471,1032.447,,7.5,14.996,29.995,64.926,124.627,245.476,455.968,742.187,1033.256,3.697,7.383,14.769,29.428,62.993,118.903,227.106,406.485,673.452,892.939,3.693,7.38,14.78,29.396,63.115,118.929,227.154,406.605,673.463,890.827,3.749,7.498,14.994,29.981,64.909,124.995,248.081,474.223,819.352,1202.622,,7.496,14.991,30.022,64.97,124.724,247.515,474.01,818.361,1201.66,,7.498,14.992,29.982,64.905,124.848,248.345,483.384,874.678,1371.619,,,,,64.891,124.711,248.569,483.106,874.682,1372.751,,,,,64.986,124.843,249.933,492.646,906.248,1434.077,,,,29.992,65.067,124.93,249.926,492.903,906.963,1436.623
1597,,7.493,14.99,29.981,64.897,124.77,245.509,455.802,743.452,1033.156,,7.499,14.996,30.015,64.897,124.728,245.485,455.609,742.086,1033.564,3.691,7.381,14.747,29.416,63.042,118.868,227.415,406.453,673.236,892.212,3.695,7.379,14.782,29.365,63.02,119.123,227.27,406.804,672.341,893.117,3.75,7.492,14.997,29.996,65.047,124.792,247.648,473.88,819.278,1201.016,,7.504,15.007,29.979,65.004,124.754,248.025,474.785,819.132,1200.087,,7.5,15.002,29.977,64.926,124.835,248.44,482.768,873.837,1370.206,,,,,64.909,124.798,248.427,483.816,874.359,1370.965,,,,,64.933,124.989,249.95,492.687,907.167,1437.802,,,,30.004,64.932,124.921,250.05,493.105,906.637,1436.917
1598,,7.5,14.998,29.988,65.025,124.767,245.448,455.647,742.712,1033.392,,7.491,14.987,29.975,64.931,124.786,245.448,456.005,743.033,1034.618,3.694,7.377,14.775,29.402,63.121,119.135,227.357,406.649,673.555,892.047,3.698,7.379,14.755,29.396,63.136,119.088,227.47,406.531,674.037,893.793,3.746,7.501,14.99,29.972,64.921,124.784,247.569,474.794,819.846,1203.428,,7.501,14.983,30.031,65.06,124.966,247.676,474.726,819.021,1203.43,,7.505,14.998,29.974,64.943,124.919,248.412,482.938,874.349,1373.718,,,,,65.003,124.783,248.596,483.714,874.209,1370.833,,,,,65.054,124.95,249.585,492.907,907.305,1435.622,,,,29.963,64.958,124.992,249.458,492.822,907.197,1436.365
1599,,7.502,15.009,30.012,64.964,124.728,245.185,456.419,743.712,1033.124,,7.491,14.985,29.992,64.925,124.735,245.414,455.811,743.545,1033.71,3.694,7.389,14.747,29.384,63.133,119.056,227.254,406.254,672.753,893.528,3.697,7.376,14.779,29.398,63.123,119.052,227.311,406.29,673.11,892.337,3.747,7.5,15.004,30.022,64.991,124.714,247.711,474.317,818.817,1203.5,,7.503,15.017,29.999,65.022,124.809,247.684,474.52,818.46,1202.336,,7.5,15.013,29.959,65.031,124.953,248.412,483.013,875.72,1371.773,,,,,64.953,124.743,248.538,483.227,875.669,1373.698,,,,,64.97,124.91,249.602,492.977,908.063,1438.1,,,,29.963,64.966,124.985,249.635,492.177,906.959,1435.691
1600,,7.493,15.002,29.961,65.027,124.772,245.63,455.519,743.802,1033.399,,7.495,14.984,30.022,64.971,124.531,245.491,456.502,743.836,1033.605,3.692,7.389,14.75,29.431,63.047,119.153,227.078,406.55,674.273,892.734,3.694,7.392,14.777,29.436,63.142,118.961,227.091,406.681,673.033,893.112,3.746,7.493,14.999,30.032,65.042,124.866,247.616,474.29,819.467,1201.944,,7.491,15.005,30.022,64.997,124.802,247.796,474.38,819.547,1202.154,,7.493,14.991,29.998,65.027,124.687,248.539,483.93,874.821,1373.198,,,,,64.983,124.864,248.429,483.103,875.259,1373.15,,,,,65.02,124.918,249.633,492.931,906.496,1437.201,,,,29.984,65.038,124.986,249.61,492.362,907.268,1437.885
1601,,7.508,15.013,29.982,64.994,124.71,245.264,456.139,743.174,1033.653,,7.492,14.995,29.97,64.967,124.644,245.633,456.259,742.665,1035.634,3.697,7.378,14.771,29.439,63.005,119.065,227.127,407.36,674.45,894.016,3.695,7.384,14.768,29.418,63.015,119.07,227.537,406.808,673.89,894.824,3.749,7.505,15.017,30.024,64.992,124.744,247.975,474.139,820.038,1202.293,,7.499,14.998,30.032,65.039,124.919,247.825,474.122,820.675,1203.419,,7.507,14.981,30.006,65.029,124.788,248.204,484.031,874.806,1373.857,,,,,64.939,124.687,248.088,483.745,874.264,1373.879,,,,,64.971,124.997,249.786,491.967,908.569,1438.112,,,,30.011,64.929,124.889,249.798,492.239,908.048,1439.698
1602,,7.504,14.983,29.978,65.043,124.794,245.32,456.259,744.298,1034.971,,7.506,14.981,29.986,65.006,124.657,245.657,456.386,742.931,1033.9,3.695,7.383,14.77,29.429,63.106,119.185,227.589,406.777,673.555,894.32,3.693,7.379,14.784,29.44,63.106,118.991,227.204,406.539,673.853,893.344,3.753,7.497,15.009,30.015,64.952,124.843,247.624,474.053,820.47,1204.957,,7.492,15.016,29.986,65.031,124.89,247.651,474.738,818.941,1204.541,,7.5,14.986,29.962,65.03,124.7,248.257,483.153,875.214,1373.211,,,,,64.973,124.757,248.193,483.826,874.429,1374.126,,,,,64.933,125.013,250.002,492.452,907.403,1437.438,,,,30.003,65.062,124.892,249.696,492.138,907.18,1438.176
1603,,7.501,14.988,30.007,64.931,124.719,245.722,456.172,744.072,1035.101,,7.497,14.998,30.021,64.982,124.812,245.19,455.865,743.873,1035.615,3.697,7.376,14.76,29.408,63.017,118.997,227.653,407.573,674.375,895.12,3.7,7.377,14.763,29.387,63.014,119.044,227.629,406.904,674.197,894.243,3.752,7.508,15.012,30.01,65.051,124.811,248.063,474.893,820.475,1205.408,,7.508,14.992,30.035,64.968,124.814,248.038,474.748,819.904,1204.045,,7.505,14.981,29.979,64.984,124.701,248.29,483.872,875.679,1374.431,,,,,64.999,124.825,248.504,483.737,876.13,1372.809,,,,,64.948,124.975,249.977,492.707,907.667,1438.479,,,,29.983,65.077,124.869,249.805,492.099,906.916,1439.021
1604,,7.502,15.015,30.009,64.896,124.689,245.185,456.35,744.295,1036.149,,7.508,14.99,30.029,64.964,124.52,245.297,456.785,744.301,1036.562,3.698,7.39,14.755,29.386,63.06,119.171,227.429,407.325,674.606,894.79,3.699,7.387,14.771,29.393,63.042,119.188,227.558,407.533,674.75,895.678,3.751,7.503,15.018,29.964,64.92,124.778,247.832,474.973,820.019,1204.369,,7.501,15.01,30.006,64.944,124.973,247.965,474.888,820.197,1205.585,,7.504,15.005,29.964,64.975,124.863,248.604,483.143,875.113,1373.642,,,,,65.008,124.911,248.295,483.477,876.663,1374.956,,,,,64.941,125.033,249.551,493.179,907.796,1438.74,,,,29.994,64.977,124.872,249.746,492.04,908.365,1438.614
1605,,7.502,14.981,29.987,64.986,124.646,245.3,456.124,744.745,1036.965,,7.503,15.016,29.98,64.968,124.707,245.718,456.879,744.597,1037.213,3.698,7.375,14.784,29.431,63.048,119.042,227.646,407.775,674.945,895.69,3.7,7.381,14.765,29.439,63.075,119.113,227.502,406.923,674.715,895.325,3.747,7.492,14.988,29.988,64.92,124.877,248.111,474.395,821.48,1204.981,,7.494,15.001,30.018,64.906,124.794,247.889,474.967,820.49,1206.24,,7.492,15.009,30.026,65.001,124.846,248.204,483.281,876.121,1375.97,,,,,64.965,124.907,248.374,483.439,875.545,1376.237,,,,,65.045,125.027,249.777,492.141,907.726,1441.473,,,,29.997,64.969,124.926,250.048,492.332,908.091,1440.162
1606,,7.493,14.981,30.018,65.012,124.636,245.408,456.293,745.419,1037.482,,7.503,14.999,29.99,64.964,124.689,245.435,456.661,745.029,1036.232,3.699,7.378,14.77,29.402,63.05,118.991,227.706,407.324,675.478,896.667,3.696,7.377,14.762,29.406,63.159,118.993,227.427,407.219,674.621,895.201,3.752,7.499,14.999,30.035,64.961,124.89,248.064,474.936,821.472,1206.714,,7.503,15.014,29.989,64.947,124.808,247.643,475.316,820.557,1206.955,,7.507,14.987,30.001,64.897,124.758,248.54,484.228,876.936,1374.477,,,,,64.93,124.76,248.336,483.78,875.497,1374.847,,,,,65.049,125.078,249.49,492.685,908.573,1440.565,,,,29.974,65.011,124.981,249.873,492.766,908.094,1438.897
1607,,7.499,14.994,29.998,64.991,124.824,245.791,456.925,744.858,1037.005,,7.499,15.009,30.017,64.979,124.655,245.2,456.869,745.551,1036.986,3.696,7.383,14.777,29.44,63.081,119.02,227.636,407.157,675.428,895.673,3.7,7.385,14.778,29.413,63.097,119.116,227.282,407.189,674.662,895.856,3.753,7.492,14.981,29.997,64.997,124.936,247.81,475.314,819.987,1207.22,,7.497,15.001,30.013,64.986,124.897,247.933,474.869,821.81,1206.278,,7.499,14.998,30.009,65.007,124.975,248.726,483.49,876.937,1377.065,,,,,64.938,124.706,248.335,484.217,877.003,1376.032,,,,,64.919,125.109,249.525,492.716,908.53,1439.768,,,,,65.069,124.893,249.466,492.834,908.5,1440.024
